Kode I-O,Nama Sektor,Kode sektor KSM,Klasifikasi Sektor Makro (KSM),KSM (17 Sektor),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,Households,Government,Investment,Exports,Imports,700,309
16,Wood and paper products,cwood,"Wood, Paper and Printing Industry",Manufacturing Industry,0,0,0,0,0,0.0022,0.0003,0,0.0001,0.0019,0.1197,0,0.0227,0,0.0017,0.3036,0.0016,0.0384,0.2271,0.3404,0.0174,0.005,0.015,17.6045,0.003,0.3058,0.245,0.288,1.5428,1.193,0.1643,0.2069,0.0066,0,3.3651,0,0,4.8237,-0.083547,30.776953,8.105253
17,Chemicals and petroleum,cchem,Chemical and Petroleum Manufacturing,Manufacturing Industry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.3736,0,0,2.5537,-2.22111,54.70619,54.70619
18,Non-metal minerals,cnmet,Non-Metallic Mineral Products,Manufacturing Industry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3534,0,0,0,-0.00651,2.34689,2.34689
19,Metals and metal products,cmetl,Basic Metal Products,Manufacturing Industry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4246,0,0,18.3532,-0.043006,18.734794,18.734794
20,"Machinery, equipment and vehicles",cmach,Machinery and Equipment Manufacturing,Manufacturing Industry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6825,0,161.2766,0,-7.67171,165.28739,165.28739
21,"Other manufacturing include textile, clothing, and footware",coman,Other Manufacturing & Repair Services,Manufacturing Industry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.6351,0,2.1144,0.0632,-0.796583,27.016117,27.016117
22,"Electricity, gas and steam",celec,Electricity and Gas Supply,Electricity and Gas Supply,0,0,0.0002,0,0,0.0211,0.0001,0.0008,0.0021,0.0558,0.3871,0.0015,0.3112,0.0005,0.0056,0.1358,0.007,0.2554,2.3259,0.3052,0.0099,18.507,0.3833,5.8709,0.0027,1.5296,0.5684,0.8044,2.126,4.6992,0.2233,0.992,0.0852,0,7.017,0,0,0,-0.146465,46.615435,6.870535
23,Water supply and sewage,cwatr,"Water Supply, Waste Management and Remediation","Water Supply, Waste Management and Remediation",0,0,0,0,0,0.0005,0,0.0012,0.0024,0.0749,0.0001,0,0.018,0.0002,0.0023,0.0004,0.0009,0.0244,1.1394,0.0698,0.0006,0.0498,5.0658,0.0843,0.0052,0.0707,0.0506,0.0236,2.0552,1.4518,0.0672,0.58,0.1161,0,5.6566,0,0,0,-0.040383,16.574317,5.616217
24,Construction,ccons,Construction,Construction,0,0,0,0,0,0.0254,0.0002,0.0001,0.0001,0.005,0.2669,0,0.0294,0,0,0.0002,0,0.0001,0.0006,0.0033,0,0.0022,0.0207,1.2685,0.0003,0.003,0.0375,0.8896,0.0446,0.2397,0.0086,0.0032,0.0009,0,12.8182,0,403.165,2.3357,-0.010505,421.158495,418.308395
25,Accommodation and food services,chotl,Accommodation and Food Service Activities,Accommodation and Food Service Activities,0,0,0.0002,0,0.0011,0.3008,0.0034,0.0052,0.0154,0.3266,3.7754,0.0049,0.2476,0.0011,0.0069,0.177,0.009,0.1085,0.5454,0.903,0.0147,0.1357,0.4179,13.8509,0.0111,0.4477,0.4986,0.6545,4.4251,22.8659,0.957,2.7984,0.1991,0,67.3886,0,0,0.7854,-0.375301,122.131999,67.798699
26,Information and communication,ccomm,Information and Communication,Information and Communication,0,0,0,0,0.0001,0.0162,0.0002,0,0.0009,0.0064,1.6708,0.0043,0.3308,0.001,0.0188,0.0972,0.008,0.0668,0.12,0.3319,0.0042,0.1357,0.1306,10.1382,0.0008,30.5213,4.9236,6.8221,41.3419,9.4296,0.3428,0.7635,0.0465,0,11.4794,0,0,0,-0.395469,118.396431,11.083931
27,Finance and insurance,cfsrv,Financial and Insurance Activities,Financial and Insurance Activities,0,0,0.0062,0,0.0103,7.7777,0.0697,0.0208,0.1065,1.1864,18.0951,0.037,2.3916,0.0041,0.0151,0.3183,0.0234,0.2357,1.2985,1.364,0.0208,1.8703,0.4189,20.1451,0.0176,1.6603,11.2382,7.1164,33.8468,3.5027,0.306,1.9341,0.272,0,0.5512,0,0,0.2926,-0.426253,116.083747,0.417547
28,Real estate activities,creal,Real Estate Activities,Real Estate Activities,0,0,0,0,0,0.0092,0,0,0.0001,0.003,0.0096,0,0.3743,0.0002,0.0003,0.0293,0.0043,0.0714,0.1269,0.0609,0.0044,0.0039,0.114,11.4408,0.0065,0.667,1.3774,1.525,7.7905,3.2749,0.611,0.673,0.2616,0,169.3029,0,0,0,-0.10484,197.64746,169.19806
29,Business services,cbsrv,Business and Professional Services,Business Services,0,0,0.0002,0,0.0043,0.1101,0.0182,0.0066,0.0406,0.904,26.5686,0.0089,4.439,0.0018,0.0164,0.6466,0.035,0.1691,1.4254,2.1125,0.0319,4.6139,1.8021,136.0594,0.0042,16.7288,27.6399,26.6279,90.2454,62.6443,3.9403,13.6546,0.1742,0,34.887,0,0,22.0907,-1.551792,476.514608,55.425908
30,Public administration,cpadm,"Public Administration, Defence and Social Security","Public Administration, Defence and Social Security",0,0,0.0001,0,0,0.2518,0.0028,0,0,0,0,0,0.1294,0.0001,0,0.0045,0.0061,0.0441,0.3398,0.186,0.0007,0.1619,0.8628,11.8923,0.0009,2.2347,0.653,7.2968,10.0826,0.4618,0.0518,0.5112,0.0041,0,0,284.1229,0,0,-0.134463,320.475537,283.988437
31,Education,ceduc,Education Services,Education Services,0,0,0,0,0,0,0,0,0,0,0,0,0.027,0,0,0.0165,0.0009,0.0047,0.0271,0.0893,0.0001,0.007,0.0184,0.39,0.0001,0.0339,1.7588,0.0076,2.1329,1.514,0.4058,0.3841,0.0082,0,15.4097,59.4472,0,0,-0.025177,81.664223,74.831723
32,Health and social work,cheal,Human Health and Social Work Activities,Human Health and Social Work Activities,0,0,0,0,0,0,0,0.0001,0.0004,0.0428,0,0.0185,0.164,0.0001,0.0003,0.0068,0.003,0.0104,0.008,0.3443,0.0027,0.0002,0.0332,0.2078,0.0005,0.0204,0.3507,0.4073,1.7293,2.1993,0.0541,1.0531,0.0374,0,0,124.5498,0,0,-0.024693,131.226107,124.525107
33,Other services,cosrv,Other Personal and Community Services,Other Services,0,0,0,0,0,0.0075,0.0022,0,0.0034,0.0019,0.8438,0.0254,0.0366,0,0.0002,0.0033,0.0016,0.0098,0.0298,0.0214,0.0007,0.0416,0.4852,12.0241,0.0109,3.5307,0.1821,0.7536,2.1423,1.8065,0.1836,0.5757,0.2545,0,13.1201,0,0,0.4415,-0.0849,36.5148,13.4767
