2023 Social Accounting Matrix for Papua New Guinea,Code,amaiz,arice,aocer,apuls,aoils,aroot,avege,asugr,afrui,acoff,aocrp,acatt,apoul,aoliv,afore,afish,amine,afood,abeve,atext,awood,achem,anmet,ametl,amach,aoman,aelec,awatr,acons,atrad,atran,ahotl,acomm,afsrv,areal,absrv,apadm,aeduc,aheal,aosrv,cmaiz,crice,cocer,cpuls,coils,croot,cvege,csugr,cfrui,ccoff,cocrp,ccatt,cpoul,coliv,cfore,cfish,cmine,cfood,cbeve,ctext,cwood,cchem,cnmet,cmetl,cmach,coman,celec,cwatr,ccons,ctrad,ctran,chotl,ccomm,cfsrv,creal,cbsrv,cpadm,ceduc,cheal,cosrv,trc,flab-n,flab-p,flab-s,flnd,fcap,ent,hhd-r1,hhd-r2,hhd-r3,hhd-r4,hhd-r5,hhd-u1,hhd-u2,hhd-u3,hhd-u4,hhd-u5,gov,dtax,etax,ftax,mtax,stax,s-i,row,total
"Commodities - Textiles, clothing and footwear",ctext,0.003003172,9.13788E-05,,0.000197134,4.033075594,0.294926799,0.063485796,0.021434071,11.40227534,0.431775595,0.103272715,0.002433295,0.002388159,0.588067064,6.255606539,0.157654689,14.19959056,2.026876002,1.816879694,125.9686948,7.033697703,0.254994698,0.161056806,1.994120551,0.62193797,0.749094577,0.795212131,0.917660002,12.85798101,14.05336945,20.5496686,1.394459594,1.884081276,1.86009227,0.911546273,28.12001032,24.88104646,5.131119998,26.96340249,8.22543581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.20334954,96.45345134,122.3821719,139.3269353,199.2231126,0.085534496,2.3839968,24.89257394,88.5526003,108.4991466,,,,,,,,12.63829095,1182.37288
Commodities - Wood and paper products,cwood,0.001787847,9.89581E-05,,0.000275987,0.224490472,0.160845891,0.676959991,0.007465153,2.638227127,0.018760165,0.021102687,0.003215017,0.016349178,1.535818929,2.783668483,0.034752119,13.98508044,2.805954072,17.08062557,0.218363721,76.2718148,1.954748237,1.559046105,16.88879942,4.249510766,4.285086882,0.45909538,1.259248048,585.4422842,64.75009033,23.56428902,16.25813965,25.71199879,18.52431037,18.90007202,86.05972537,141.5305941,19.86326309,40.84613706,6.251968741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.282810171,12.12368049,16.37917644,20.98126375,42.89872081,0.055472002,0.515964592,2.908988149,11.13612571,25.9304235,,,,,,,,200.9889995,1538.045689
Commodities - Chemicals and petroleum,cchem,1.084807162,0.617184748,0.253605994,0.600961279,230.2687831,109.9460595,51.98347757,6.280739818,501.363288,57.4295125,3.924978998,0.598723035,1.318925657,123.259938,39.08793692,5.403330689,210.5657175,59.53824246,32.24502302,1.950573871,41.07984957,47.84820871,7.587445894,26.72407264,9.07711301,8.401731575,7.443649174,18.93635628,419.1693147,279.9542494,364.8329559,6.561513467,17.27264287,9.992334806,30.99798677,184.0012721,156.7233725,8.682210395,334.2457933,11.69091944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.46856568,97.16444186,144.0871893,200.6895339,351.006159,15.23059859,35.25980399,80.11375271,284.9597271,1000.588437,,,,,,,,851.2249998,6545.738011
Commodities - Non-metal minerals,cnmet,,,,,,,0.011914849,0.000254789,0.568392177,,2.53599E-05,0.000257121,0.004940647,,0.002200962,0.005385896,0.713033098,1.2901745,0.923229821,0.103278119,1.061432655,0.707009956,3.354019599,3.744651806,1.551072175,0.426875975,0.030081479,1.230516438,534.9150219,1.352141023,9.742691911,3.530249097,0.465477108,0.012693012,9.521986318,10.11520801,13.19339315,1.612962552,3.254388758,0.038712758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7194128,11.92536553,11.36790662,17.11253288,38.09248484,,0.535741937,2.264128732,4.9327415,6.108616969,,,,,,,,,701.5426049
Commodities - Metals and metal products,cmetl,0.005472642,0.000539208,,0.000650536,4.353020322,1.147499972,0.303616357,0.039169854,8.47067475,0.533040454,0.16547362,0.013583731,0.162689303,3.606210541,1.916437843,0.106165428,34.97111212,0.980644992,0.083485423,0.148798166,4.591503846,0.219661009,0.07749746,20.29249431,5.762428295,4.036895976,0.518626873,4.685654023,648.8623343,29.46239617,18.85021681,0.349305828,1.808434468,6.899541835,4.598767356,37.96623091,8.10535113,0.375664873,3.358791074,2.036699009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23500257,1.23186099,3.715863811,2.710993274,7.326716581,,0.03661948,0.230689972,0.759579263,1.445971743,,,,,,,,9176.578834,10054.13891
"Commodities - Machinery, equipment and vehicles",cmach,0.009774441,0.00100805,,0.001133515,14.2264038,1.563792481,1.135115753,0.195157513,11.74245679,1.830972199,0.317464436,0.093594888,0.12081674,12.62484722,49.65147142,0.806225559,262.6817992,20.71087281,13.1551862,0.655206258,19.02774194,2.16542878,0.553932362,13.9580351,27.35226317,1.260757786,1.835262401,5.761771389,396.4217841,60.03221464,89.46067055,0.564645663,5.677975236,4.829522613,18.33069016,287.8432761,45.53788457,6.437413933,20.03474815,4.046261533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.584861366,1.572051223,3.714782673,5.135646136,27.45012106,3.458085438,9.786322928,27.42148115,95.38843707,312.2598338,,,,,,,6719.860051,,8609.287254
Commodities - Other manufacturing,coman,,,,,,,0.000404637,0.000768864,0.007064985,,0.000276075,0.000287856,0.000419194,0.01027506,0.001365676,0.002509048,2.150703398,4.430275078,3.328852866,0.119288248,5.496459668,0.99972451,0.40728428,5.040097202,2.404572827,4.517955183,0.083161375,0.451421436,76.39283706,1.472784452,4.460612021,14.7068995,0.204523885,3.978868796,5.172619567,65.17505487,18.15277542,3.332357244,29.19720739,7.917987692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.9059851,25.91901427,29.96346147,35.2183987,54.4641962,1.298176512,2.78836598,6.374718982,18.95754914,32.23564434,,,,,,,88.09848461,,572.8416907
"Commodities - Electricity, gas and steam",celec,0.001262659,3.72339E-05,,0.001103912,3.339577213,0.048932789,0.420696003,0.006147421,2.539354112,0.070354757,0.003045722,0.113428443,0.215648791,17.10746319,3.455937449,1.307328945,73.48372634,20.37926516,21.16158556,0.72997851,13.09647695,3.337956834,3.983907299,66.39490244,1.462243156,0.934954292,657.333686,12.36782806,74.93566444,43.82532774,35.15519141,5.528594294,49.36784034,16.49693843,20.26379478,45.51726714,213.9753751,10.35860512,75.14769978,30.92873108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.264383571,1.240758531,2.671660822,7.718945195,23.59168318,2.680731658,8.499087336,28.2328186,81.3738407,136.1009164,,,,,,,,,1817.172685
Commodities - Water supply and sewage,cwatr,5.20949E-05,,,0.001330645,0.004346401,0.133897037,0.125924484,0.001840374,0.348464539,0.001465067,0.000434458,0.154993121,0.223252884,20.98566427,0.000571679,0.006290215,3.875711589,5.66699563,8.068138393,0.013914,0.036861839,0.385729937,0.348009275,29.70796993,0.305380287,0.049075658,1.615202936,149.2962832,0.982903355,1.48284461,0.729487214,9.8234463,2.083419928,1.340636807,0.541877016,40.18971846,60.38090556,2.846434301,40.1332517,38.51044388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.018601124,,0.100926279,,0.059153757,2.216307933,10.05561554,18.67946864,83.70915106,118.8505337,,,,,,,,,656.0929271
Commodities - Construction,ccons,0.000757151,7.41935E-06,,0.000817725,1.227515143,0.492981724,0.016985775,0.001011875,0.358253198,0.274392376,0.015795234,0.023552028,0.033354627,4.942163404,7.743952682,0.058383488,22.56941325,0.036326479,0.000904803,0.000147513,0.063909415,0.000440446,0.006408318,0.059824139,0.051781284,0.008066151,0.259204526,2.173263715,52.60747032,2.239450615,0.757502522,2.080966257,0.314366265,3.532061538,72.81868686,3.099279781,35.45927093,1.299150269,0.789342508,1.056894581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.891894805,2.561291872,11.63309097,9.426791133,48.35842146,0.499083688,2.540697205,16.06102273,8.115237813,433.0028975,,,,,,,16798.54251,97.32275181,17646.42975
Commodities - Wholesale and retail trade,ctrad,0.01490268,0.002882467,,0.007675923,4.729177218,1.076122033,0.81190144,0.187191502,11.66102629,1.107086715,0.078812714,0.874035158,1.841536791,110.8085296,35.4557046,4.637391575,33.0140367,46.57194866,14.34074721,4.029439153,16.72423924,3.432459551,1.359959799,15.64354611,4.124232852,1.170884687,3.477211353,5.500457392,120.7777622,13.91474144,36.756532,20.67040824,5.343820626,3.770970977,3.797927924,24.2418624,26.05032345,2.575694974,26.08721229,7.27410712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13302.63418,,,,,,,,,,,,,,,,,,,,,,,,,13916.57868
Commodities - Transportation and storage,ctran,0.002164022,0.000406191,,0.002561444,1.047044146,0.152966039,0.182183567,0.044883742,2.849431714,0.191243365,0.030046807,0.029636392,0.090287676,3.903662229,4.588872639,0.73432428,41.25032979,4.890314268,2.769924162,0.650576922,4.766793883,1.214230358,0.535858138,3.57710976,0.808690473,0.256278898,0.708064609,5.817497125,282.3206464,22.31674265,40.74433326,2.508111752,2.116751991,13.24183523,45.46220293,164.2407349,104.3774664,3.164223139,14.70130284,2.06718573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5260.117386,,,,,,,86.36586336,126.167513,174.1563094,217.7051676,275.3044539,1.208723172,10.09449177,35.3593016,115.4305217,217.5080204,,,,,,,,26.33984596,7324.114517
Commodities - Accommodation and food services,chotl,3.88738E-05,0.000114879,,0.000443549,0.095744906,0.038510014,0.063875493,0.012971974,0.399344618,0.085066863,0.032365541,0.02642961,0.05745872,8.391837025,4.171145601,0.328851274,27.98460472,7.391948869,12.71580594,0.244360227,3.004562129,1.303274854,0.51472477,2.460194911,0.846408595,0.386259282,1.759685423,7.997169987,69.37728022,44.37114166,152.6065095,5.402076872,8.971099579,10.13503264,11.91250907,66.68357788,908.0359787,37.66088323,169.7370187,59.04929616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.06925467,55.58817912,71.44744694,103.4632674,338.867279,5.117997386,24.53458889,94.89177917,290.5110013,540.0685179,,,,,,,,6.382006652,3179.196921
Commodities - Information and communication,ccomm,1.63109E-05,1.04889E-06,,0.000919836,0.376127731,0.079310144,0.033744469,0.009791965,1.342826817,0.055951979,0.006581874,0.002213696,0.098655949,2.021736532,15.43936483,3.768281527,80.83931113,41.31040346,73.46071234,0.226474158,9.698431179,3.943118632,1.07884332,3.545899269,1.645991526,0.412738333,4.988042127,4.361852809,133.9258529,865.4231477,67.57799765,1.780924145,1019.538517,147.8941506,177.8645673,916.0770189,444.383836,16.46383765,59.86132601,17.48749961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.18888877,32.53437671,40.09679216,67.7399883,98.16440729,0.995187493,2.888335766,15.9839428,65.54777091,138.1695109,,,,,,,,,4595.335219
Commodities - Finance and insurance,cfsrv,0.351373274,0.027733632,,0.286745087,124.5153575,34.85708731,7.392922458,1.594599673,169.0395625,25.82882002,2.044906883,2.94859144,10.8571433,362.7281791,161.1137813,31.22809397,563.0815889,170.0990119,56.9224274,2.032017034,30.60768638,11.11068481,3.666747788,36.96344077,6.517590371,1.956874049,66.24289215,13.4787652,256.4102078,517.3791787,93.23185878,36.11642594,53.43838635,325.2561157,178.7712349,722.641648,159.0476618,14.1570348,146.1163718,98.48650615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.325076542,5.360981336,0.094803755,1.250791838,0.613447626,2.549810842,12.77198676,,,,,,,,12.19355151,4533.707705
Commodities - Real estate activities,creal,0.000246265,3.01464E-05,,0.000591395,0.034521487,0.028390812,,0.005999467,0.020075762,0.032063001,0.000661319,0.005151501,0.010573523,0.973853799,0.089117679,0.007169297,92.29160864,8.706949142,0.993247942,0.058778722,2.95299879,2.147554354,1.163928713,3.781635538,0.304608749,0.429730653,0.143480529,3.841067917,152.4912577,161.8084732,28.79902635,14.05807029,22.48146693,41.74699646,40.11810711,174.176894,155.7213594,29.60375156,53.24432123,99.18550211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.9346691,364.1668505,647.2706257,2141.667149,3754.249221,,,,,,,,,8145.747777
Commodities - Business services,cbsrv,0.046635248,0.001931657,,0.001995968,6.671105095,6.945730032,1.827116339,0.985426995,126.2755693,0.54102711,0.788678346,1.388636854,6.125331593,409.0172807,350.0601277,11.16549802,1546.557646,108.9376562,91.46940867,3.495258985,92.00043109,24.55664925,3.893087116,60.04372507,14.9366294,4.442827378,241.8302838,85.81009971,2562.693697,748.7360079,2096.732604,12.90299985,796.7666199,1183.765816,989.8640084,2851.231499,4209.335171,269.7936212,1526.476441,93.30782796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.3483671,235.7054807,269.7860285,342.8036455,472.9811217,,,,,,,,,,,,,920.4448983,22915.49165
Commodities - Public administration,cpadm,,,,,1.748014112,,,,0.013150676,1.253169794,0.124451695,,,,,0.000800939,45.66109729,3.586576859,0.198698894,11.16817337,0.647087706,4.322437925,1.027535678,14.49785661,1.33225498,0.102594162,8.595202906,41.60706081,226.8521407,5.241785201,200.582341,2.67676248,107.7946093,28.32424838,274.7130331,322.6180579,31.42700011,3.588877418,57.8833879,2.224887393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11838.4544,,,,,,,,13238.26769
Commodities - Education,ceduc,,,,,,,,,,,,,,,,,6.569806825,0.427287207,0.002094011,0.035835669,1.634619917,0.447227951,0.07618054,0.795624855,0.440493755,0.013550795,0.254488144,0.610070961,5.124148911,4.869344464,16.47114169,0.113015617,1.125992872,52.54744334,0.19703943,47.01089394,70.97082332,19.38087156,29.95491888,3.050378827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.49671052,63.31677478,81.33954927,100.4010915,122.5349965,,1.237087697,4.637934734,41.93933202,185.1692598,2476.968243,,,,,,,,3381.164273
Commodities - Health and social work,cheal,0.000308817,2.49165E-05,,0.0002957,0.010223735,0.025861135,,0.005426938,,,0.000271365,0.01075749,0.030639396,9.250929399,,11.06126262,27.30987876,1.574348778,0.815759772,0.025479697,0.460276042,0.999219663,0.114358297,0.160477904,1.163719641,0.18088512,0.005059866,0.755952368,1.871099898,7.677859801,13.57761098,0.709729693,0.464142442,7.181521386,7.239368498,26.12041134,70.65069724,1.771977299,56.2810512,9.574194065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5189.576346,,,,,,,,5446.657427
Commodities - Other services,cosrv,0.013545075,0.001036901,,0.000620969,0.982076433,1.343205418,0.43124271,0.001826487,7.842431515,0.027965228,0.072569626,0.003946113,0.39242363,0.661724839,8.419956777,24.0179189,9.65536254,1.082134617,0.948374669,0.381070055,0.359534716,0.849584797,0.171459867,0.94926339,0.114544726,0.078597902,1.651190836,17.49503117,171.5162645,18.62316142,142.6198054,25.11077704,127.3529394,5.904995768,21.21700795,51.25829354,91.92752949,9.522162613,48.74409156,103.2578224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0264174,36.23720655,58.6683697,94.2638472,145.6572227,0.875734091,3.001280501,13.61705721,23.98320741,144.3390271,,,,,,,,18.39682845,1460.069689
Transaction costs,trc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.268068944,0.109318501,32.7624875,2.432049457,157.4443633,364.7937941,195.0523739,17.69674112,2290.267962,565.1585453,9.425203924,27.12499116,27.86691494,2255.156262,774.1731078,665.8900122,653.9491054,2147.398083,265.1200928,232.736319,409.3644523,1177.332277,159.6465464,4120.718082,1890.00008,117.864328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18562.75156
Factors - Labor - Low (not finished primary schooling),flab-n,3.324020808,0.501175328,2.27649677,3.722783825,704.455935,493.4247713,161.9451857,18.98402772,920.831586,148.2058359,8.245248733,17.99118766,28.6348947,1799.726409,199.6267566,366.711751,279.8077365,40.84718244,8.427075083,2.399554123,2.894590822,1.300946742,1.242383176,11.47210436,0.85853722,0.480861871,50.39944296,9.945162047,702.2950982,863.5790845,59.44210605,200.2757317,89.10639732,427.268272,192.2348943,1472.384928,221.1197564,147.6072459,73.89728355,76.9962403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9814.890681
"Factors - Labor - Medium (finished primary, but not finished secondary schooling)",flab-p,0.865784082,0.130537577,0.592942939,0.969647052,183.4846322,128.5188444,42.18071188,4.944634818,239.8424606,38.60212106,2.147581354,0.880728205,1.401772906,88.1025666,14.64779535,26.90780922,190.8377224,21.34657416,4.403955732,1.155496788,1.255447173,0.249585531,0.238350161,2.200913512,0.164709639,0.467853088,46.38540029,4.216783405,244.0885708,405.0147917,128.2135143,68.28291481,57.05509527,46.82258633,21.84651179,206.703441,219.6357673,147.1957675,73.69128325,27.43111337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2693.124719
Factors - Labor - High (finished secondary and/or tertiary schooling),flab-s,2.061851173,0.310873186,1.412084282,2.309199202,436.9657652,306.0656062,100.4527018,11.77557004,571.1810472,91.93034407,5.114431213,0.377454939,0.600759808,37.75824227,33.36426362,61.28971759,6664.780034,141.6687125,29.22730054,6.300730732,34.50413926,16.99096098,16.22609396,149.8309433,11.21288976,4.644273562,84.7589715,28.57069202,2105.817112,2528.585138,626.5261759,376.8771624,452.2311834,366.2842418,178.1089339,2035.930938,4515.293192,1973.226678,987.8654024,271.5429848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25269.9748
Factors - Agricultural land,flnd,3.127165683,0.480483782,1.165984867,4.125385218,672.2937104,586.550778,144.8203084,16.664662,2767.207385,347.6613965,18.78714927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4562.884409
Factors - Capital,fcap,2.385143431,0.354722699,0.577855215,3.511580949,530.8264152,517.9708446,113.0403217,12.74073715,1314.336549,150.2637058,9.902628863,27.79799652,45.30571542,2873.533064,493.8070623,699.4978491,22650.10737,663.3379715,103.5269456,21.98377864,82.76046795,58.16635419,24.74701262,343.0667575,17.52667177,9.154857405,570.28896,199.9979913,3931.435473,6724.727079,1484.349158,1120.206953,1568.182943,1553.680137,5534.860315,6282.593438,736.3159682,517.9102703,1040.913108,284.2985146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.3439279,62667.33462
Enterprises,ent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34730.35833,,,,,,,,,,,,1922.085873,,,,,,,10.10198356,36662.54619
Households - Rural (quintile 1),hhd-r1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627.1561364,49.80675456,11.13902944,578.5123307,537.9856344,81.69501774,,,,,,,,,,,,,,,,,,2.300035377,1888.594939
Households - Rural (quintile 2),hhd-r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1115.417535,124.3117709,32.17110474,926.3367465,886.2343356,239.8084738,,,,,,,,,,,,,,,,,,4.046308432,3328.326275
Households - Rural (quintile 3),hhd-r3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1517.279615,177.8776007,173.1582013,891.0314767,1281.697808,638.6976732,,,,,,,,,,,,,,,,,,4.946120639,4684.688496
Households - Rural (quintile 4),hhd-r4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611.221258,301.7503751,723.8494383,1001.390759,1625.912993,1284.868725,,,,,,,,,,,,,,,,,,5.351906303,6554.345455
Households - Rural (quintile 5),hhd-r5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2173.44116,376.5262462,2147.092638,1165.613096,1970.214357,2342.90905,,,,,,,,,,,,,,,,,,10.55859474,10186.35514
Households - Urban (quintile 1),hhd-u1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451.5056873,27.29784983,144.8683849,,,123.143046,,,,,,,,,,,,,,,,,,0.732487268,747.5474553
Households - Urban (quintile 2),hhd-u2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592.6846376,98.69529901,256.9599722,,,438.3887503,,,,,,,,,,,,,,,,,,1.293279545,1388.021939
Households - Urban (quintile 3),hhd-u3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.1444342,330.8928798,1215.674981,,,401.9899634,,,,,,,,,,,,,,,,,,1.2557102,2336.957968
Households - Urban (quintile 4),hhd-u4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660.6834129,390.5804289,5004.31895,,,2356.380605,,,,,,,,,,,,,,,,,,3.390320892,8415.353717
Households - Urban (quintile 5),hhd-u5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678.3568047,815.3855143,15560.7421,,,5732.905534,,,,,,,,,,,,,,,,,,4.420343833,22791.81029
Government,gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517.539892,1.019661078,4.460093675,10.45567277,47.25964531,123.648974,0.461243791,2.319935895,11.35997522,71.71314997,233.66277,,10764.53308,244.4708349,729.92624,336.3437982,4539.475955,,1084.979435,18723.63036
Taxes - Direct (personal or corporate),dtax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6663.285832,6.872375107,30.05795486,106.6916008,337.0768407,846.7449709,3.108536,15.64959951,76.54276182,505.9115956,2172.591016,,,,,,,,,10764.53308
Taxes - Exports (products),etax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.90960713,14.78761973,101.7061729,83.06743516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.4708349
Taxes - Factors,ftax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729.92624,,,,,,,,,,,,,,,,,,,,729.92624
Taxes - Imports (products),mtax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010966801,0.196511384,5.380785034,,3.083402292,,,,,,,9.319283539,0.236704647,132.2406383,2.014154826,46.59915433,26.1573353,44.729241,3.258628067,54.74076591,3.167015455,5.209211312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.3437982
"Taxes - Sales, excise and/or value-added (products)",stax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.4760574,57.38202897,38.17343163,44.32725854,195.8970275,26.28279332,31.587641,294.4310915,20.5530503,61.55822236,21.66562127,577.6558791,450.7944448,252.1873672,103.4425177,165.6692078,161.5745703,285.0599399,733.1993317,438.9335902,115.7255394,187.5965154,48.30282732,,,,,,,,,,,,,,,,,,,,,,,,,,4539.475955
Savings-investment,s-i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15745.16315,100.6462221,263.5068734,639.6303086,1119.024659,1778.477117,82.3275208,206.7280795,369.1502993,1547.235287,5267.658185,-2763.739276,,,,,,,-749.3073822,23606.50104
Rest of world,row,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.586350658,,267.5606568,,2.366326862,0.649610605,19.57946099,,23.89218695,,,,,,,80.91725881,234.1546542,2783.053551,106.9744381,679.2198797,446.3005638,4763.720541,353.240406,1538.738873,6299.391359,368.919792,,,146.1841909,,1276.187085,209.7468989,,83.29453992,,5985.711112,,,,15.21083827,,,,,,20905.00492,95.77047087,26.69321174,42.14386172,46.97290736,44.87928705,40.84753821,4.926823269,7.134702516,10.99370025,22.81794848,36.65069498,60.28477878,,,,,,,,47033.72142
Total,total,14.64093084,2.800661605,7.116747728,18.6289201,3217.923007,2416.392348,682.6482636,85.08982603,7229.800702,951.7787686,57.67984494,64.58785792,128.0248101,7281.078852,1866.843626,1844.024244,38720.16306,5016.199881,1127.169985,185.6440955,611.8960793,364.0589245,159.114231,4308.35355,122.2977078,60.29530901,1755.614463,634.4273059,16922.58968,13465.78424,5795.740065,2866.007505,4429.666011,4288.838595,7860.687837,16196.58121,12799.3341,3265.438734,5259.060912,1396.556024,17.14904205,2.909980106,307.439892,12.06674259,2832.985623,973.2031121,527.6474787,88.78456044,3704.160992,1516.937314,67.10504887,90.83428617,137.1015968,6718.143932,2685.926341,2067.849908,39710.2097,10389.43565,1558.6607,1182.37288,1538.045689,6545.738011,701.5426049,10054.13891,8609.287254,572.8416907,1817.172685,656.0929271,17646.42975,13916.57868,7324.114517,3179.196921,4595.335219,4533.707705,8145.747777,22915.49165,13238.26769,3381.164273,5446.657427,1460.069689,18562.75156,9814.890681,2693.124719,25269.9748,4562.884409,62667.33462,36662.54619,1888.594939,3328.326275,4684.688496,6554.345455,10186.35514,747.5474553,1388.021939,2336.957968,8415.353717,22791.81029,18723.63036,10764.53308,244.4708349,729.92624,336.3437982,4539.475955,23606.50104,47033.72142,712883.2361
