Kode I-O,Nama Sektor,Kode sektor KSM,Klasifikasi Sektor Makro (KSM),KSM (17 Sektor),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,Households,Government,Investment,Exports,Imports,700,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Other crops,cocrp,A,A, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5.85 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1.25 , -   , -   , 3.99 , -   , 11.09 , 5.24 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Cattle and raw milk,ccatt,A,A, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.20 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.04 , -   , -   , -   , -   , 1.29 , -   , -   , -   , -   , 3.65 , -   , 2.16 , 0.10 , -   , 7.44 , 5.91 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Poultry and eggs,cpoul,A,A, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.04 , 0.12 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 23.14 , -   , -   , 0.01 , -   , 23.30 , 23.15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Other livestock,coliv,A,A, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 8.83 , -   , -   , 0.41 , (0.03), 9.21 , 9.21 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Forestry,cfore,A,A, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 90.87 , -   , 5.90 , -   , -   , -   , 3.44 , 1.41 , 0.23 , 0.19 , 0.12 , 2.76 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1.44 , -   , -   , 43.90 , -   , 150.26 , 45.34 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Fisheries,cfish,A,A, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 11.27 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 11.66 , -   , -   , -   , -   , 10.05 , 7.78 , 2.58 , -   , -   , 7.15 , -   , 0.02 , 2.97 , -   , 53.49 , 10.15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Mining,cmine,A,A, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.01 , -   , 5.02 , -   , -   , -   , -   , -   , 0.02 , 0.49 , 0.01 , 0.03 , 0.00 , 0.01 , 2.29 , -   , 0.02 , 0.74 , 0.00 , -   , -   , -   , 0.02 , 0.01 , -   , -   , -   , -   , -   , -   , 35.30 , -   , 43.96 , 35.30 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Processed foods,cfood,A,A, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 290.95 , 0.50 , -   , 17.30 , (24.40), 284.36 , 284.36 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Beverage and tobacco,cbeve,A,A, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 19.87 , -   , -   , 0.31 , (2.19), 17.99 , 17.99 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Textiles, clothing and footwear",ctext,A,A, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 18.05 , -   , 0.38 , 0.04 , (3.93), 14.55 , 14.55 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Wood and paper products,cwood,A,A, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.02 , -   , 0.09 , -   , 0.61 , -   , 0.00 , 0.06 , 0.09 , 0.43 , -   , 0.01 , 1.20 , -   , -   , 0.25 , 0.17 , 0.05 , 0.22 , 0.15 , 0.78 , 0.10 , 0.01 , -   , -   , 4.08 , -   , 0.17 , 1.45 , -   , 9.97 , 5.70 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Chemicals and petroleum,cchem,A,A, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 49.15 , -   , -   , 0.24 , (11.02), 38.37 , 38.37 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
