2019 Social Accounting Matrix for Papua New Guinea,Code,amaiz,arice,aocer,apuls,aoils,aroot,avege,asugr,afrui,acoff,aocrp,acatt,apoul,aoliv,afore,afish,amine,afood,abeve,atext,awood,achem,anmet,ametl,amach,aoman,aelec,awatr,acons,atrad,atran,ahotl,acomm,afsrv,areal,absrv,apadm,aeduc,aheal,aosrv,cmaiz,crice,cocer,cpuls,coils,croot,cvege,csugr,ctoba,cfrui,ccoff,cocrp,ccatt,cpoul,coliv,cfore,cfish,cmine,cfood,cbeve,ctext,cwood,cchem,cnmet,cmetl,cmach,coman,celec,cwatr,ccons,ctrad,ctran,chotl,ccomm,cfsrv,creal,cbsrv,cpadm,ceduc,cheal,cosrv,trc,flab-n,flab-p,flab-s,flnd,fcap,ent,hhd-r1,hhd-r2,hhd-r3,hhd-r4,hhd-r5,hhd-u1,hhd-u2,hhd-u3,hhd-u4,hhd-u5,gov,dtax,etax,ftax,mtax,stax,s-i,dstk,row,total
Activities - Accommodation and food services,ahotl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,359",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,359"
Activities - Information and communication,acomm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,395",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,395"
Activities - Finance and insurance,afsrv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,408",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,408"
Activities - Real estate activities,areal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,450",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,450"
Activities - Business services,absrv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,733",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,733"
Activities - Public administration,apadm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,642",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,642"
Activities - Education,aeduc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,830",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,830"
Activities - Health and social work,aheal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,046",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,046"
Activities - Other services,aosrv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,495",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,495"
Commodities - Maize,cmaiz,6,,,,,,,,,,,0,4,10,,,,6,,,,,,,,,,,,,,5,,,,,13,,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,3,1,1,0,1,2,,,,,,,,,,63
Commodities - Rice,crice,,1,,,,,,,,,,,0,1,,,,11,,,,,,,,,,,,,,,,,,,7,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
Commodities - Other cereals,cocer,,,0,,,,,,,,,,1,3,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44
Commodities - Pulses,cpuls,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,1,1,1,1,0,1,2,,,,,,,,,,18
Commodities - Oilseeds,coils,,,,,126,,,,,,,,,,,,,844,0,,,,,,,0,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,64,71,136,192,9,14,16,56,84,,,,,,,,,6,"1,659"
Commodities - Roots,croot,,,,,,185,,,,,,0,0,0,,,,2,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,55,56,76,136,10,18,15,46,61,,,,,,,,,,697
Commodities - Vegetables,cvege,,,,,,,76,,,,,,,,,,,36,,,,,,,0,,,1,,,,8,2,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,41,56,60,70,8,12,20,65,126,,,,,,,,,,607
Commodities - Sugarcane,csugr,,,,,,,,3,,,,0,1,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,6,2,16,16,0,0,0,,,,,,,,,,53
Commodities - Tobacco,ctoba,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
Commodities - Fruits and nuts,cfrui,,,,,,,,,132,,,,,,,,,21,2,,,,,,,,,,,,,8,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,95,117,149,565,13,15,15,49,75,,,,,,,,,38,"1,357"
"Commodities - Coffee, tea and cocoa",ccoff,,,,,,,,,,50,,,,,,,,51,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,47,28,81,133,7,7,6,17,46,,,,,,,,,541,"1,057"
Commodities - Other crops,cocrp,,,,,,,,,,,95,0,2,5,,,,1,0,,,17,,,,,,1,,,,10,,,,,8,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,9,10,1,1,2,8,14,,,,,,,,,93,287
Commodities - Cattle and raw milk,ccatt,,,,,,,,,,,,1,0,0,,,,12,,,,0,,,,,,,,,,2,,,,,43,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,3,1,4,4,1,6,132,,,,,,,73,17,,311
Commodities - Poultry and eggs,cpoul,,,,,,,,,,,,1,3,4,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,41,82,149,203,11,17,51,171,234,,,,,,,,,,979
Commodities - Other livestock,coliv,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,19,17,53,178,3,5,10,24,56,,,,,,,,,17,391
Commodities - Forestry,cfore,,,,,,,,,,,,,,,"1,518",,788,1,0,0,57,28,11,2,4,21,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,4,2,5,8,7,14,12,,,,,,,,,827,"3,338"
Commodities - Fisheries,cfish,,,,,,,,,,,,,0,,,873,,308,,,,,,,,,,,,,,11,,,,,7,8,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,20,58,72,5,9,13,51,57,,,,,,,1,0,6,"1,530"
Commodities - Mining,cmine,,,,,,,,,,,,,0,,2,1,"10,880",0,0,0,0,0,13,82,4,4,1,3,272,,9,325,1,,,,5,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"34,749","46,360"
Commodities - Processed foods,cfood,,,,,,,,,,,,48,210,149,12,,53,437,11,1,,,5,10,27,3,,2,,38,20,94,22,7,,3,23,7,23,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,530,666,"1,348","5,023",25,154,340,"1,035","2,790",21,,,,,,0,0,721,"14,090"
Commodities - Beverage and tobacco,cbeve,,,,,,,,,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,43,55,125,216,2,9,34,113,221,,,,,,,,,13,849
"Commodities - Textiles, clothing and footwear",ctext,,,,,,,,,,,,,,,,,18,0,0,21,0,,0,0,1,0,,1,,,2,1,,1,,,23,8,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,21,40,162,241,0,3,30,106,139,,,,,,,15,1,8,857
Commodities - Wood and paper products,cwood,,,,,,,,,,,,,,,,,11,1,1,0,46,0,1,3,13,15,,1,40,,,31,42,6,8,7,71,13,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,10,27,42,0,1,7,28,51,,,,,,,7,0,49,546
Commodities - Chemicals and petroleum,cchem,6,4,0,3,215,307,121,3,206,56,138,1,3,6,,,,26,2,0,,,,,0,0,,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,142,178,299,603,7,20,45,173,507,0,,,,,,,,80,"3,224"
Commodities - Non-metal minerals,cnmet,,,,,,,,,,,,,,,,,,,,0,,,0,0,2,0,,1,31,,,5,,,,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,22,60,,1,6,13,15,0,,,,,,2,0,3,185
Commodities - Metals and metal products,cmetl,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,10,28,,0,1,3,5,,,,,,,,,"4,427","4,500"
"Commodities - Machinery, equipment and vehicles",cmach,,,,,,,,,,,,0,0,0,,,,13,1,0,,0,,,15,0,,0,8,,2,,1,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,206,379,776,"2,630",19,71,181,642,"2,585",,,,,,,4,0,273,"7,861"
Commodities - Other manufacturing,coman,,,,,,,,,,,,,,,,,,3,0,0,9,,0,0,16,4,,0,24,,2,15,,5,2,,19,2,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,31,42,74,113,3,7,14,44,72,,,,,,,71,5,23,631
"Commodities - Electricity, gas and steam",celec,,,,,,,,,,,,0,0,0,,,,12,1,,,,,,,,522,1,8,15,6,1,,12,,,215,14,4,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,10,14,68,6,19,58,153,217,,,,,,,0,0,,"1,404"
Commodities - Water supply and sewage,cwatr,,,,,,1,,,,,,0,0,0,,,,2,0,,,,0,0,0,0,,40,,,,3,,1,,,11,1,2,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,7,7,3,14,23,89,110,13,,,,,,,,,350
